Digits,Method,Result Length,Mean Time,Standard Deviation
1,Lilavati's method,1,0.00012290477752685547,7.164964246851985e-05
1,Simple multiplication,1,2.384185791015625e-07,0.0
1,Exponentiation,1,2.384185791015625e-07,0.0
1,Pow function,1,3.5762786865234375e-07,1.6858739404357614e-07
1,Math.pow function,3,2.1457672119140625e-06,2.0230487285229133e-06
